"Date_entry","Region","District_ad","Address","Metro","Dist_metro_ad","Rooms","Price","Minimum_duration","No_agents","Building","Area_total","Area_living","Area_kitchen","Floor","NFloor","Lift","Furnished","Bath","Refurbished","Balcony","Latitude","Longitude","Year_construction"
"2017-05-12","gorod Sankt-Peterburg","Красносельский","Ленинский пр., 77к1","Leninskii pr.",4460,"1   (studiya)",17000,"11 mes.","","Kirp.Monolit",24.9,20,4.9,4,"25","Est'","","","","Balkon",59.858141,30.190724,
"2016-07-21","gorod Sankt-Peterburg","Красногвардейский","Пискаревский пр., 145к2","Akademicheskaya",3120,"1",15000,"11 mes.","","Kirpichnyi",37,18,5,2,"5","Net","Minimum","Sovmeshchennaya","Ne trebuetsya","Balkon",60.002605,30.448385,
"2017-06-01","gorod Sankt-Peterburg","Московский","Варшавская ул., 61к1","Moskovskaya",460,"1",55000,"6 mes.","","Monolit",48,15,23,4,"23","Est'","Garnitur Sovr.","Otdel'naya","Evrostandart","Balkon",59.851598,30.313955,2005
"2017-06-04","gorod Sankt-Peterburg","Пушкинский","р-н Пушкин г., Малиновская ул., 15","Moskovskaya",17930,"5",119000,"6 mes.","","Monolit",205,105,45,4,"4","Net","","","","",,,
"2016-11-02","gorod Sankt-Peterburg","Выборгский","Асафьева ул., 5","Prosveshcheniya pr.",60,"2",58000,"","","",73,48,11,14,"16","Net","","","","Lodjiya",60.047852,30.3231,
"2016-06-01","gorod Sankt-Peterburg","Московский","Московский пр., 198","Park Pobedy",590,"3",75000,"6 mes.","","Stalinskii",80,59,10,5,"6","Est'","Minimum","Otdel'naya","Evrostandart","Net",59.861028,30.322587,1958
"2017-01-14","gorod Sankt-Peterburg","Невский","Седова ул., 144","Obvodnyi Kanal",620,"1",25000,"","","Kirpichnyi",37,16,10,2,"5","Net","Sbor.+kuh.garn.","","","Net",59.865608,30.4453184,
"2016-03-01","gorod Sankt-Peterburg","Московский","Галстяна ул. 1","Moskovskaya",50,"2",50000,"12 mes.","","Kirpichnyi",75,39,12,11,"16","Est'","Sbornaya Sovr.","Otdel'naya","Evrostandart","Balkon",,,
"2016-06-10","gorod Sankt-Peterburg","Невский","Коллонтай ул., 32к1","Bol'shevikov pr.",280,"2",28000,"","","Brejnevka",56,,12,5,"9","Est'","Sbor.+kuh.garn.","Otdel'naya","Proizveden","",59.924543,30.4878398,1979
"2016-12-14","gorod Sankt-Peterburg","Фрунзенский","Южное ш., 53","Mejdunarodnaya",2120,"2",26000,"11 mes.","Da","Monolit",60,35,10,16,"24","Est'","Tol'ko kuhnya","Otdel'naya","Evrostandart","Zasteklennaya lodjiya",59.86279,30.41432164,
"2017-04-04","gorod Sankt-Peterburg","Калининский","Брянцева ул., 13к1","Grajdanskii pr.",80,"4",40000,"","","Kirpichnyi",90,66,5,11,"23","Est'","Sbor.+kuh.garn.","","","Balkon",60.040358,30.40903,
"2017-02-08","gorod Sankt-Peterburg","Приморский","Серебристый бул., 29","Komendantskii pr.",510,"1",25000,"","","Panel'nyi",39,18,10,11,"17","Net","Sbor.+kuh.garn.","","Evrostandart","Zasteklennaya lodjiya",60.011522,30.285577,
"2017-04-04","gorod Sankt-Peterburg","Московский","Пулковское ш., 26к7","Zvezdnaya",330,"3",44000,"","","Monolit",72,52,11,12,"19","Est'","Sbor.+kuh.garn.","","","Balkon",59.826954,30.329109,
"2017-04-26","gorod Sankt-Peterburg","Приморский","Коломяжский пр., 26","Pionerskaya",170,"2",50000,"11 mes.","","Kirp.Monolit",70,40,15,9,"17","Est'","","Otdel'naya","Evrostandart","Zasteklennaya lodjiya",60.00393,30.295747,2006
